date,country,continent,confirmed_cases,deaths,recovered,tests_done,vaccinations
2020-12-13 09:00:00,USA,North America,491582.0,12213.0,45832.0,888848.0,412233.0
2020-07-02 12:00:00,Brazil,South America,449840.0,1943.0,72622.0,508584.0887421319,126948.0
2020-02-09 11:00:00,Germany,Europe,427485.0,6905.0,390670.0,136830.0,672999.0
2020-01-22 04:00:00,Russia,Europe,339252.0,16053.0,300459.0,173875.0,858869.0
2021-01-07 01:00:00,UK,Europe,228273.0,440.0,42711.0,233865.0,497636.1590135177
2020-01-17 19:00:00,UK,Europe,477432.0,4980.0,85808.0,209992.0,834619.0
2020-12-11 05:00:00,India,Asia,434311.0,4223.0,116562.0,137706.0,332089.0
2021-01-14 14:00:00,China,Asia,83866.0,2611.0,220943.0,735153.0,996632.0
2020-02-01 17:00:00,India,Asia,434758.0,16983.0,200660.0,908694.0,497636.1590135177
2020-10-15 00:00:00,Russia,Europe,496755.0,13073.0,270873.0,717475.0,625608.0
2020-05-10 12:00:00,Germany,Europe,201495.0,13982.0,171674.0,481707.0,846579.0
2020-09-05 02:00:00,Russia,Europe,193516.0,2193.0,277247.0,965637.0,356034.0
2020-11-10 15:00:00,India,Asia,187213.0,13950.0,22783.0,169920.0,320413.0
2020-08-26 19:00:00,Germany,Europe,397046.0,3251.0,314956.0,574941.0,100093.0
2020-11-18 06:00:00,China,Asia,3051.0,4231.0,347143.0,563322.0,648879.0
2020-08-14 13:00:00,France,Europe,203426.0,2986.0,39420.0,411243.0,944140.0
2020-02-15 02:00:00,Brazil,South America,356749.0,13060.0,206732.0,423319.0,124503.0
2020-11-23 11:00:00,Spain,Europe,249052.66267547483,13335.0,394687.0,860425.0,396055.0
2020-12-16 15:00:00,France,Europe,413145.0,13390.0,356883.0,134115.0,54797.0
2020-12-14 13:00:00,USA,North America,93558.0,872.0,112745.0,524894.0,782176.0
2021-01-05 14:00:00,Russia,Europe,491008.0,6223.0,186751.0,535444.0,222447.0
2020-04-01 10:00:00,France,Europe,36282.0,14103.0,164622.0,527172.0,114595.0
2020-01-30 03:00:00,Brazil,South America,205383.0,1169.0,361141.0,508584.0887421319,497636.1590135177
2020-06-27 12:00:00,Italy,Europe,342237.0,7381.0,127610.0,445637.0,545835.0
2020-12-04 01:00:00,Germany,Europe,286656.0,3727.0,187473.0,508584.0887421319,523824.0
2020-05-10 06:00:00,Brazil,South America,300388.0,2781.0,31245.0,261887.0,348234.0
2021-01-07 08:00:00,China,Asia,316575.0,14040.0,199789.3743552713,246576.0,497636.1590135177
2021-01-07 05:00:00,Russia,Europe,359743.0,2303.0,102690.0,123297.0,714078.0
2020-09-10 20:00:00,India,Asia,435401.0,14923.0,199789.3743552713,2120.0,260927.0
2020-10-17 13:00:00,Spain,Europe,292305.0,7408.0,171149.0,499348.0,283418.0
2020-05-12 06:00:00,Germany,Europe,249052.66267547483,9567.0,133212.0,984653.0,497636.1590135177
2020-08-18 13:00:00,France,Europe,249052.66267547483,11194.0,273009.0,649195.0,578397.0
2020-12-15 16:00:00,Russia,Europe,198343.0,9408.0,288169.0,261305.0,132666.0
2020-02-06 05:00:00,Brazil,South America,393850.0,17221.0,387697.0,206483.0,969481.0
2020-06-01 23:00:00,Spain,Europe,480795.0,9216.0,120825.0,128211.0,529832.0
2020-07-12 10:00:00,Germany,Europe,481503.0,16624.0,53034.0,948275.0,897557.0
2020-02-15 20:00:00,France,Europe,249052.66267547483,18031.0,385468.0,903928.0,605573.0
2020-12-04 17:00:00,Germany,Europe,408540.0,15543.0,155943.0,323361.0,133162.0
2021-01-23 08:00:00,India,Asia,45038.0,3283.0,276232.0,825492.0,917404.0
2020-06-12 14:00:00,China,Asia,493973.0,10145.634148859295,199789.3743552713,646052.0,134438.0
